departure_time,arrival_time,flight_id,aircraft_id,itinerary_no,ticket_no,flight_cost,origin_airport,destination_airport,frequent_flier,travel_date,airplane_model,frequent_flier_no,passenger_name,passenger_country,tail_no,distance,turbulance,temp_at_dept,fuel_consumed_litre,taxi_duration_mins,avg_flight_speed_kmps,engine_performance,passenger_dob,passenger_flight_class
22:08:41,23:57:41,CCK50278,AI947,61143910,SS-34573-UW-271,3940.67,Cape Coral,Paducah,True,2024-08-30,Robin ATL,019346PG,Beckie,St. Helena,S873RN,1724,0,-7.5,24177.5,25.0,834.3,12773,1999-11-08,economy
18:29:30,19:17:30,BRT38419,AI438,68917462,NT-33366-BW-995,698.1,Carrboro,Hilliard,True,2024-11-19,Boeing 737-800,843568VO,Long,Sint Maarten,H544XD,5842,0,-7.3,59102.8,120.0,1127.3,46453,2001-01-27,economy
13:32:41,15:14:41,KEU89486,AI045,62198786,BR-03300-EE-686,784.61,North Richland Hills,Central Falls,False,2024-11-21,Airbus A319,,Maire,Marshall Islands,Z674GW,2008,1,-9.7,19477.8,84.0,945.9,18050,2003-03-13,economy
03:05:41,05:18:41,IBS70775,AI185,60626570,AU-56262-KK-045,6566.72,Shelbyville,Algonquin,True,2024-06-12,Embraer EMB 110 Bandeirante,591994WX,Laverna,Guyana,Y250VC,2995,0,9.2,24837.3,61.0,924.8,23305,2010-08-23,economy
02:17:42,04:40:42,RRY73762,AI300,64518729,BF-56894-KJ-878,4697.51,Huber Heights,Belleville,False,2025-01-26,Beechcraft Baron,,Andrew,Liberia,I392BQ,4517,0,-2.4,58542.4,29.0,1359.5,29326,2006-01-17,economy
05:32:32,05:55:32,WZC11077,AI016,64753622,VO-34062-JB-666,7514.29,Kent,Bessemer,False,2025-01-12,Dassault Falcon 50,,Kayleen,Norfolk Island,G905SB,4418,1,-9.1,58896.3,63.0,1394.9,29017,2007-01-26,economy
01:55:36,02:38:36,CQH08933,AI391,61291943,MP-02740-CI-363,6345.17,Altamonte Springs,Oakdale,False,2024-06-28,Boeing 777-200LR,,Carolynn,Burkina Faso,Z390MD,653,8,-5.4,7072.4,92.0,702.0,6493,2003-07-06,economy
21:38:26,22:40:26,DIW01592,AI107,61984003,BH-42691-MM-714,2206.17,Minot,Manteca,False,2025-01-16,Boeing 737 MAX 10,,Naoma,Yemen,B971ZT,3929,1,8.9,59729.6,28.0,954.2,25329,2010-10-08,economy
14:57:42,17:09:42,AOY85799,AI309,62635400,GO-32033-IO-953,3385.38,Renton,Gladstone,True,2024-10-04,Airbus A319neo,816295LT,Matha,Belgium,Y217HT,4667,0,-1.6,61950.7,57.0,1085.2,29570,2003-12-26,economy
23:19:25,01:21:25,COM80669,AI616,66540853,HK-75719-PV-578,3054.0,Melrose,Ankeny,False,2025-01-12,Antonov AN-24,,Linwood,Faroe Islands,I793VO,4573,1,-13.8,69136.5,107.0,1001.1,29281,2004-07-26,economy
17:19:26,19:31:26,MXV75695,AI240,68008974,ZH-80377-DY-865,1901.81,Sioux City,Brook Park,False,2024-05-28,British Aerospace Jetstream 41,,Ladawn,Mongolia,M680JW,1994,1,-8.4,17042.2,82.0,829.2,10006,2005-06-05,economy
10:47:29,11:36:29,TGP17971,AI406,66456468,IP-99450-FJ-948,1483.64,Carol Stream,Galveston,True,2024-11-21,Honda HA-420,975607SY,Benton,Kyrgyzstan,X529ZV,1129,8,8.0,13053.3,65.0,814.9,11219,2004-11-23,economy
11:31:27,12:37:27,WOF84529,AI894,64140554,GR-04023-VL-801,4266.79,Cedar Hill,North Canton,True,2024-10-20,GippsAero GA8 Airvan,717450DH,Karren,Marshall Islands,N577TD,2664,1,3.5,23680.2,44.0,941.3,24644,2008-01-08,economy
16:55:32,19:46:32,ZNP21685,AI745,66686888,US-67856-PO-042,5967.44,Zanesville,Encinitas,True,2024-12-24,Canadair Regional Jet 700,067177NO,Blake,St. Pierre & Miquelon,S340VG,5093,0,7.2,58010.1,48.0,1305.7,39236,1998-09-29,economy
00:20:26,00:50:26,QGO03529,AI412,61617027,DV-38556-FT-434,515.94,Coalinga,Morgantown,False,2025-02-14,Ilyushin IL86,,Dillon,Ecuador,I863YY,3731,0,-5.5,68738.5,49.0,920.4,29826,2002-04-23,economy
23:39:36,00:34:36,EWA33822,AI133,67232178,UX-56759-TU-444,1329.61,Sioux Falls,Lauderhill,False,2025-03-02,Shorts SC-7 Skyvan,,Kenny,Mauritius,J342KV,5175,1,-13.4,66482.8,18.0,1222.3,40008,2005-07-17,economy
04:37:29,05:57:29,XDI77016,AI261,69287829,LD-84146-KA-293,492.33,Kokomo,Mission,True,2024-05-19,Tupolev Tu-214,933713JV,Taisha,Gibraltar,Q699YB,5374,0,-8.6,57079.5,89.0,1173.4,40363,2007-08-03,economy
12:04:37,13:55:37,GSA71055,AI504,67985927,NJ-70734-QQ-390,3236.24,Franklin Park,Eau Claire,True,2024-12-13,Cessna Citation CJ3,810612DC,Harold,Guernsey,U031EC,5571,0,-9.0,57778.0,37.0,1174.5,44156,2005-09-17,economy
19:14:42,20:49:42,DPR37348,AI226,66965726,QP-74797-WO-770,4562.69,Atlantic City,Zanesville,False,2024-10-01,Team Rocket F1,,Marx,Solomon Islands,W171RN,4415,0,5.8,59511.2,30.0,1299.5,29519,2000-01-28,economy
13:40:29,13:50:29,XGC22581,AI194,68263537,XV-91297-CA-613,3643.83,Vestavia Hills,Tempe,False,2024-06-21,Airbus A300B2,,Ammie,American Samoa,X576NF,3384,1,-7.4,59609.9,61.0,906.4,25531,1998-09-25,economy
10:22:39,12:21:39,TWM83406,AI161,66049626,IA-26894-LA-940,4491.48,Norman,Marion,True,2024-09-25,Douglas DC-8-50,844040AJ,Walter,Brunei,F700OX,5123,1,-12.6,55954.0,34.0,1287.0,40492,2010-11-06,economy
17:16:32,17:34:32,QPC26499,AI944,66636803,PU-82509-IR-967,5857.48,Westland,Seal Beach,True,2024-12-08,Tupolev Tu-134,697836ND,Alexis,Trinidad & Tobago,A056NT,826,8,8.6,7172.5,83.0,726.8,5501,2005-01-15,economy
16:07:33,17:47:33,IMA61582,AI616,60802170,XH-07866-FX-177,7362.58,Lake Havasu City,Dumont,False,2024-07-01,CASA/IPTN CN-235,,Samual,Isle of Man,L274TK,2653,1,-9.3,23393.6,68.0,913.5,20621,2009-12-18,economy
07:44:40,09:01:40,POZ64936,AI240,69886989,KA-11514-ST-085,7962.46,Elgin,Chicago,False,2025-02-13,British Aerospace Jetstream 32,,Owen,Vatican City,V899YG,974,5,-9.7,7429.3,57.0,723.3,5722,2005-01-11,economy
06:49:39,09:09:39,CAT69713,AI574,63225613,XZ-33456-MF-019,6044.03,Melbourne,Baldwin,True,2024-06-06,Airbus A320neo,952466AW,Temika,Liechtenstein,C217KL,4345,0,-11.6,64652.0,48.0,1085.1,29231,2010-09-12,economy
08:01:28,08:32:28,VCD92648,AI579,62351302,OY-03883-JM-003,2502.98,Elk River,Friendswood,True,2024-12-11,BAe 146-100,011598XC,Ruthanne,St. Pierre & Miquelon,C824YF,3758,0,-6.6,59978.8,45.0,988.1,25385,2001-02-15,economy
11:01:37,13:19:37,JIX60426,AI483,66334933,YN-99835-GT-590,3925.76,Victoria,Franklin Park,False,2024-08-22,Aquila A 210,,Kraig,Svalbard & Jan Mayen,U780HH,5791,1,-7.2,69598.3,77.0,1043.3,44512,1998-02-19,economy
11:05:31,12:01:31,OIH58452,AI531,67574922,MN-50065-SH-573,5664.52,Painesville,Fond du Lac,True,2024-08-16,De Havilland Canada DHC-8-300 Dash 8,247721KF,Cyrus,Russia,Q833UR,6331,0,-7.8,67650.9,108.0,1687.3,55495,2008-08-08,economy
